no,year,capex,opex,total
0,2027,28736.82,494.508793305931,29231.3287933059
1,2028,0,499.45388123899,499.45388123899
2,2029,0,504.44842005138,504.44842005138
3,2030,0,509.492904251894,509.492904251894
4,2031,0,514.587833294413,514.587833294413
5,2032,0,519.733711627357,519.733711627357
6,2033,0,524.93104874363,524.93104874363
7,2034,0,530.180359231067,530.180359231067
8,2035,0,535.482162823377,535.482162823377
9,2036,0,540.836984451611,540.836984451611
10,2037,0,546.245354296127,546.245354296127
11,2038,0,551.707807839089,551.707807839089
12,2039,0,557.22488591748,557.22488591748
13,2040,0,562.797134776654,562.797134776654
14,2041,0,568.425106124421,568.425106124421
15,2042,0,574.109357185665,574.109357185665
16,2043,0,579.850450757522,579.850450757522
17,2044,0,585.648955265097,585.648955265097
18,2045,0,591.505444817748,591.505444817748
19,2046,0,597.420499265925,597.420499265925
20,2047,0,603.394704258585,603.394704258585
