node,layer
Feasibility,0
Spatial Planning,1
Technical Aspects,1
Economics,1
Environment,1
Navigational Safety,1
National Port Master Plan (RIPN),2
Coastal/Small Islands Zoning Plan,2
Provincial Plan,2
Municipal Plan,2
Preliminary Study,2
Distance to Planned Water Depth,2
Accessibility,2
Supporting Infrastructure,2
Yearly Operation Time,2
Sedimentation,2
Water Area for Ship Maneuvering,2
Current,2
Tidal Range,2
Topography,2
Hinterland and Foreland Potential,2
GRDP,2
EIRR,2
FIRR,2
Land Ownership Status,2
Environmental Impact (Construction and Operation),2
Disaster Vulnerability,2
Activities to Nearby Existing Port,2
Navigational Channel,2
Navigational Aid,2
Water Area for Maneuvering,2
