no,year,goods,speedboat,tourism,total
1,2028,1008.5,159.8,881.6,2049.9
2,2029,1099.2,162.9,960.8,2223.0
3,2030,1198.0,166.2,1047.2,2411.4
4,2031,1305.7,169.5,1141.4,2616.6
5,2032,1423.1,172.9,1244.0,2840.0
6,2033,1551.0,176.4,1355.8,3083.2
7,2034,1690.5,179.9,1477.7,3348.1
8,2035,1842.4,183.5,1610.6,3636.5
9,2036,2008.1,187.2,1755.3,3950.6
10,2037,2188.6,190.9,1913.1,4292.7
11,2038,2385.4,194.7,2085.1,4665.2
12,2039,2599.8,198.6,2272.6,5071.0
13,2040,2833.5,202.6,2476.9,5513.0
14,2041,3088.2,206.7,2699.6,5994.5
15,2042,3365.9,210.8,2942.3,6518.9
16,2043,3668.5,215.0,3206.8,7090.3
17,2044,3998.3,219.3,3495.1,7712.6
18,2045,4357.7,223.7,3809.3,8390.7
19,2046,4749.5,228.2,4151.7,9129.4
20,2047,5176.5,232.7,4525.0,9934.1
